file,outcome,sensor,model,f1_score_constant,f1_score_decline,f1_score_improvement,f1_score_weighted,f1_score_unweighted,time_series_length (days),count_constant,count_decline,count_improvement,oversampled,AUC_score,variable,,,,,,,,,
electricity_nutrition_ts_resp,resp,electricity,MUSE,0.75,0.909090909,0.909090909,0.856060606,0.829545455,2,36,4,79,1,0,e_consumption,,,,,,,,,
electricity_total_ts_resp,resp,electricity,TSF,0.8,0,0.905660377,0.852626211,0.568553459,3,44,3,101,0,0.873397436,e_consumption,,,,,,,,,
electricity_total_ts_resp_norm,resp,electricity,ROCKET,0.7,0.9,0.9,0.85,0.8,2,46,4,110,1,0,e_consumption,,,,,,,,,
electricity_total_ts_resp_norm,resp,electricity,ROCKET,0.695652174,0.892307692,0.892307692,0.825266038,0.793979933,1,48,5,120,1,0,e_consumption,,,,,,,,,
electricity_living_ts_resp_norm,resp,electricity,ROCKET,0.714285714,0.866666667,0.866666667,0.821645022,0.79047619,1,48,5,120,1,0,e_consumption,,,,,,,,,
electricity_living_ts_resp,resp,electricity,ROCKET,0.666666667,0.903225806,0.903225806,0.85,0.784946237,2,46,4,110,1,0,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp,resp,electricity,MrSEQL,0.7,1,0.842105263,0.814210526,0.847368421,2,36,4,79,0,0.987012987,e_consumption,,,1,0,,,,,
sleep_ts_feel,feel,sleep,MUSE,0.92,0,0,0.817777778,0.306666667,7,95,3,8,0,0.861111111,hrv_hf,,,,,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,KNN,0.72,0.820512821,0.820512821,0.782820513,0.77025641,1,37,5,84,0,0,e_consumption,,,,,,,,,
electricity_total_ts_resp,resp,electricity,ROCKET,0.625,0.90625,0.90625,0.84296875,0.765625,2,46,4,110,1,0,e_consumption,,,,,,,,,
electricity_living_ts_resp,resp,electricity,KNN,0.689655172,0.823529412,0.823529412,0.776673428,0.756592292,2,46,4,110,1,0,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,TSF,0.625,0.863636364,0.863636364,0.792045455,0.744318182,2,36,4,79,0,0,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,KNN,0.631578947,0.829268293,0.829268293,0.756782199,0.73042362,2,36,4,79,1,0,e_consumption,,,,,,,,,
electricity_total_ts_resp_norm,resp,electricity,MrSEQL,0.642857143,0.807692308,0.807692308,0.75,0.725274725,2,46,4,110,0,0,e_consumption,,,,,,,,,
electricity_living_ts_resp_norm,resp,electricity,MUSE,0.538461538,0.806451613,0.806451613,0.745544778,0.672456576,1,48,5,120,0,0,e_consumption,,,,,,,,,
electricity_living_ts_resp,resp,electricity,ROCKET,0.470588235,0.873239437,0.873239437,0.7817278,0.671913836,1,48,5,120,0,0,e_consumption,,,,,,,,,
sleep_ts_feel,feel,sleep,MrSEQL,0.611111111,0.2,0.4,0.581349206,0.403703704,6,100,4,8,0,0.793333333,max_hr,,,0,1,,,,,
sleep_ts_feel,feel,sleep,iTDE,0.98245614,0,1,0.951895869,0.660818713,4,110,4,8,0,0.75,duration_in_bed,,,,,,,,,
sleep_ts_feel,feel,sleep,KNN,0.981818182,0,1,0.95030303,0.660606061,5,105,4,8,0,0.75,duration_awake,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,MUSE,0.981818182,0,1,0.95030303,0.660606061,5,105,4,8,0,0.854938272,avg_hr,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,MUSE,0.981818182,0,1,0.95030303,0.660606061,5,105,4,8,1,0.62345679,duration,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,MUSE,0.941176471,0,0,0.836601307,0.31372549,7,95,3,8,1,0.847222222,bedexit_count,,,,,,,,,
sleep_ts_feel,feel,sleep,TSF,0.941176471,0,0,0.836601307,0.31372549,7,95,3,8,1,0.847222222,tossnturn_count,,,,,,,,,
sleep_ts_feel,feel,sleep,MUSE,0.981818182,0,1,0.95030303,0.660606061,5,105,4,8,0,0.524691358,duration,,,,,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,ROCKET,1,0,0.977777778,0.95037037,0.659259259,2,36,4,79,0,0.75,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp,resp,electricity,iTDE,1,0,0.977777778,0.982962963,0.659259259,2,36,4,79,1,0,e_consumption,,,,,,,,,
electricity_living_ts_resp,resp,electricity,MUSE,0.476190476,0.835820896,0.835820896,0.754086709,0.656005686,1,48,5,120,1,0,e_consumption,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,iTDE,0.962962963,0,1,0.933333333,0.654320988,5,105,4,8,0,0.740740741,avg_rr,,,,,,,,,
sleep_ts_feel,feel,sleep,MUSE,0.893617021,0,0.4,0.823955871,0.431205674,7,95,3,8,0,0.836805556,awakenings,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,iTDE,0.945454545,1,0,0.884242424,0.648484848,5,105,4,8,0,0.740740741,bedexit_duration,,,,,,,,,
sleep_ts_feel,feel,sleep,KNN,0.93877551,0,1,0.909620991,0.646258503,6,100,4,8,1,0.73,duration_awake,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,KNN,0.920634921,1,0,0.870294785,0.64021164,1,125,4,8,0,0.7265625,avg_act,,,,,,,,,
electricity_total_ts_resp_norm,resp,electricity,MrSEQL,0.363636364,0,0.705882353,0.612805319,0.356506239,3,44,3,101,0,0.832589286,e_consumption,,,,,,,,,
electricity_total_ts_resp_norm,resp,electricity,MUSE,0.96,0,0.943396226,0.901207547,0.634465409,2,46,4,110,0,0.764423077,e_consumption,,,,,,,,,
sleep_ts_feel,feel,sleep,MrSEQL,0.717948718,0.25,0.444444444,0.681700244,0.470797721,6,100,4,8,0,0.903333333,hrv_rmssd_morning,,,0,1,,,,,
electricity_nutrition_ts_resp,resp,electricity,ROCKET,0.941176471,0,0.956521739,0.922314578,0.63256607,1,37,5,84,1,0.722222222,e_consumption,,,,,,,,,
sleep_ts_feel,feel,sleep,iTDE,0.892857143,1,0,0.840401786,0.630952381,3,115,4,8,1,0.715517241,hrv_lf,,,,,,,,,
electricity_nutrition_ts_resp,resp,electricity,KNN,0.909090909,0,0.958333333,0.916540404,0.622474747,2,36,4,79,0,0.708333333,e_consumption,,,,,,,,,
electricity_total_ts_resp_norm,resp,electricity,KNN,0.48,0.763636364,0.763636364,0.664363636,0.621818182,2,46,4,110,1,0,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,MUSE,0.933333333,0,0.930232558,0.869043928,0.62118863,2,36,4,79,1,0.826041667,e_consumption,,,,,,,,,
electricity_total_ts_resp_norm,resp,electricity,MrSEQL,0.615384615,0,0.888888889,0.814479638,0.501424501,4,42,2,92,0,0.824074074,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,MUSE,0.923076923,0,0.933333333,0.868717949,0.618803419,2,36,4,79,0,0.668367347,e_consumption,,,,,,,,,
electricity_living_ts_resp_norm,resp,electricity,TSF,0.470588235,0,0.8,0.669896194,0.423529412,4,42,2,92,0,0.823002755,e_consumption,,,,,,,,,
sleep_ts_feel,feel,sleep,MrSEQL,0.75,0,0.363636364,0.693602694,0.371212121,7,95,3,8,0,0.822916667,bedexit_count,,,,,,,,,
electricity_total_ts_resp,resp,electricity,MUSE,0.461538462,0.774193548,0.774193548,0.674712384,0.617866005,1,48,5,120,0,0,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,TSF,0.363636364,0.867924528,0.867924528,0.757611492,0.615780446,1,37,5,84,0,0,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,iTDE,0.909090909,0,0.936170213,0.869245648,0.615087041,2,36,4,79,1,0.739130435,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp,resp,electricity,ROCKET,0.923076923,0,0.909090909,0.821445221,0.610722611,2,36,4,79,1,0.714285714,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,indvBOSS,0.888888889,0,0.926829268,0.916711834,0.605239386,2,36,4,79,0,0,e_consumption,,,,,,,,,
sleep_ts_feel,feel,sleep,MrSEQL,0.739130435,0.333333333,0.333333333,0.701086957,0.468599034,3,115,4,8,0,0.870689655,hrv_rmssd_morning,,,0,1,,,,,
sleep_ts_feel_norm,feel,sleep,iTDE,1,0,0.8,0.95483871,0.6,4,110,4,8,0,0.75,bedexit_duration,,,,,,,,,
electricity_nutrition_ts_resp,resp,electricity,KNN,0.875,0,0.904761905,0.865674603,0.593253968,2,36,4,79,1,0.681944444,e_consumption,,,,,,,,,
sleep_ts_feel,feel,sleep,MrSEQL,0.723404255,0.333333333,0.181818182,0.677365409,0.412851923,3,115,4,8,1,0.666666667,hrv_rmssd_morning,,,0,1,,,,,
electricity_total_ts_resp_norm,resp,electricity,indvBOSS,0.869565217,0,0.909090909,0.875494071,0.592885375,2,46,4,110,1,0.700487013,e_consumption,,,,,,,,,
electricity_living_ts_resp_norm,resp,electricity,indvBOSS,0.869565217,0,0.909090909,0.850790514,0.592885375,2,46,4,110,0,0.682307692,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp,resp,electricity,indvBOSS,0.909090909,0,0.857142857,0.820779221,0.588744589,2,36,4,79,1,0.692708333,e_consumption,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,MUSE,0.96,0,0,0.853333333,0.32,7,95,3,8,0,0.8125,min_rr,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,iTDE,0.962962963,0,0.8,0.92,0.587654321,5,105,4,8,1,0.740740741,bedexit_duration,,,,,,,,,
sleep_ts_feel,feel,sleep,iTDE,0.962962963,0,0.8,0.92,0.587654321,5,105,4,8,0,0.740740741,avg_rr,,,,,,,,,
sleep_ts_feel,feel,sleep,MUSE,0.92,0,0,0.817777778,0.306666667,7,95,3,8,1,0.805555556,hrv_score,,,,,,,,,
sleep_ts_feel,feel,sleep,MUSE,0.962962963,0,0.8,0.92,0.587654321,5,105,4,8,1,0.586419753,max_rr,,,,,,,,,
sleep_ts_feel,feel,sleep,iTDE,0.96,0,0.8,0.914285714,0.586666667,6,100,4,8,1,0.74,avg_hr,,,,,,,,,
electricity_total_ts_resp_norm,resp,electricity,MrSEQL,0.636363636,0,0.8,0.723529412,0.478787879,4,42,2,92,1,0.803719008,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,iTDE,0.869565217,0,0.888888889,0.88115942,0.586151369,2,36,4,79,0,0,e_consumption,,,,,,,,,
electricity_living_ts_feel,feel,electricity,indvBOSS,0.950819672,0,0.8,0.913982642,0.583606557,4,116,9,11,1,0.733870968,e_consumption,,,,,,,,,
sleep_ts_feel,feel,sleep,iTDE,0.945454545,0,0.8,0.905571848,0.581818182,4,110,4,8,1,0.732142857,avg_rr,,,,,,,,,
sleep_ts_feel,feel,sleep,MUSE,0.943396226,0,0.8,0.902389937,0.581132075,5,105,4,8,0,0.604938272,min_hr,,,,,,,,,
electricity_living_ts_resp,resp,electricity,indvBOSS,0.818181818,0,0.912280702,0.884051037,0.57682084,2,46,4,110,0,0,e_consumption,,,,,,,,,
sleep_ts_feel,feel,sleep,MrSEQL,0.711111111,0.2,0.222222222,0.664583333,0.377777778,3,115,4,8,0,0.635057471,hrv_rmssd_evening,,,0,1,,,,,
electricity_nutrition_ts_resp,resp,electricity,KNN,0.823529412,0,0.888888889,0.81495098,0.5708061,1,37,5,84,0,0.682539683,e_consumption,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,MUSE,0.941176471,0,0,0.836601307,0.31372549,7,95,3,8,1,0.798611111,hrv_hf,,,,,,,,,
electricity_living_ts_resp_norm,resp,electricity,iTDE,0.846153846,0,0.862745098,0.793476621,0.569632981,2,46,4,110,1,0.804487179,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,indvBOSS,0.833333333,0,0.875,0.826388889,0.569444444,2,36,4,79,1,0.661904762,e_consumption,,,,,,,,,
electricity_living_ts_resp_norm,resp,electricity,indvBOSS,0.8,0,0.896551724,0.852413793,0.565517241,2,46,4,110,1,0.688888889,e_consumption,,,,,,,,,
electricity_living_ts_resp_norm,resp,electricity,MrSEQL,0.666666667,0,0.857142857,0.775910364,0.507936508,4,42,2,92,1,0.794202899,e_consumption,,,,,,,,,
electricity_total_ts_resp,resp,electricity,TSF,0.8,0,0.896551724,0.827586207,0.565517241,2,46,4,110,0,0.630059524,e_consumption,,,,,,,,,
electricity_nutrition_ts_resp_norm,resp,electricity,MrSEQL,0.857142857,0,0.838709677,0.818740399,0.565284178,2,36,4,79,1,0.838942308,e_consumption,,,,,,,,,
electricity_total_ts_resp,resp,electricity,MUSE,0.777777778,0,0.918032787,0.86352459,0.565270188,2,46,4,110,0,0.807407407,e_consumption,,,,,,,,,
electricity_living_ts_resp_norm,resp,electricity,MUSE,0.777777778,0,0.9,0.824444444,0.559259259,2,46,4,110,1,0.745238095,e_consumption,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,MrSEQL,0.731707317,0.5,0.181818182,0.68415426,0.471175166,6,100,4,8,1,0.726666667,hrv_lf,,,0,1,,,,,
electricity_nutrition_ts_resp,resp,electricity,ROCKET,0.823529412,0,0.837209302,0.72871067,0.553579571,1,37,5,84,0,0.68128655,e_consumption,,,,,,,,,
sleep_ts_feel,feel,sleep,MUSE,0.981132075,0,0.666666667,0.927463312,0.549266247,5,105,4,8,0,0.885802469,duration_in_bed,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,indvBOSS,0.980392157,0.666666667,0,0.899159664,0.549019608,6,100,4,8,0,0.75,duration_in_bed,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,indvBOSS,0.980392157,0,0.666666667,0.922969188,0.549019608,6,100,4,8,1,0.625,avg_hr,,,,,,,,,
sleep_ts_feel,feel,sleep,indvBOSS,0.980392157,0,0.666666667,0.922969188,0.549019608,6,100,4,8,1,0.625,duration_in_bed,,,,,,,,,
sleep_ts_feel,feel,sleep,iTDE,0.96969697,0,0.666666667,0.924675325,0.545454545,1,125,4,8,1,0.4921875,avg_hr,,,,,,,,,
sleep_ts_feel,feel,sleep,KNN,0.96969697,0,0.666666667,0.924675325,0.545454545,1,125,4,8,1,0.625,sleep_score,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,KNN,0.967741935,0,0.666666667,0.920169436,0.544802867,2,120,4,8,0,0.625,duration_awake,,,,,,,,,
sleep_ts_feel,feel,sleep,KNN,0.967741935,0,0.666666667,0.920169436,0.544802867,2,120,4,8,0,0.625,avg_hr,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,indvBOSS,0.967741935,0,0.666666667,0.920169436,0.544802867,2,120,4,8,0,0.616666667,max_hr,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,KNN,0.966666667,0,0.666666667,0.917708333,0.544444444,3,115,4,8,1,0.625,hrv_rmssd_morning,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,KNN,0.965517241,0,0.666666667,0.915090842,0.544061303,4,110,4,8,0,0.625,hrv_rmssd_evening,,,,,,,,,
sleep_ts_feel,feel,sleep,MUSE,0.933333333,0,0.285714286,0.850793651,0.406349206,7,95,3,8,0,0.784722222,duration_in_light,,,,,,,,,
sleep_ts_feel,feel,sleep,indvBOSS,0.965517241,0,0.666666667,0.915090842,0.544061303,4,110,4,8,0,0.625,bedexit_duration,,,,,,,,,
sleep_ts_feel,feel,sleep,ROCKET,0.965517241,0,0.666666667,0.915090842,0.544061303,4,110,4,8,1,0.625,tossnturn_count,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,iTDE,0.965517241,0,0.666666667,0.915090842,0.544061303,4,110,4,8,0,0.625,duration_awake,,,,,,,,,
sleep_ts_feel,feel,sleep,iTDE,0.965517241,0,0.666666667,0.915090842,0.544061303,4,110,4,8,1,0.625,duration_in_bed,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,indvBOSS,0.964285714,0,0.666666667,0.912301587,0.543650794,5,105,4,8,0,0.625,avg_act,,,,,,,,,
sleep_ts_feel,feel,sleep,MUSE,0.964285714,0,0.666666667,0.912301587,0.543650794,5,105,4,8,0,0.854938272,tossnturn_count,,,,,,,,,
electricity_nutrition_ts_resp,resp,electricity,MrSEQL,0.736842105,0,0.914285714,0.791944146,0.55037594,3,35,3,74,1,0.77832244,e_consumption,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,MUSE,0.93877551,0,0.666666667,0.883849836,0.535147392,7,95,3,8,1,0.777777778,avg_rr,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,MUSE,0.964285714,0,0.666666667,0.912301587,0.543650794,5,105,4,8,0,0.672839506,min_rr,,,,,,,,,
sleep_ts_feel,feel,sleep,MUSE,0.941176471,0,0,0.836601307,0.31372549,7,95,3,8,0,0.777777778,avg_hr,,,,,,,,,
sleep_ts_feel,feel,sleep,MUSE,0.92,0,0,0.817777778,0.306666667,7,95,3,8,0,0.777777778,max_hr,,,,,,,,,
sleep_ts_feel,feel,sleep,MUSE,0.964285714,0,0.666666667,0.912301587,0.543650794,5,105,4,8,0,0.657407407,avg_hr,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,iTDE,0.964285714,0,0.666666667,0.912301587,0.543650794,5,105,4,8,1,0.625,avg_act,,,,,,,,,
sleep_ts_feel,feel,sleep,iTDE,0.964285714,0,0.666666667,0.912301587,0.543650794,5,105,4,8,1,0.625,avg_hr,,,,,,,,,
sleep_ts_feel,feel,sleep,iTDE,0.964285714,0,0.666666667,0.912301587,0.543650794,5,105,4,8,1,0.625,duration_in_light,,,,,,,,,
sleep_ts_feel,feel,sleep,TSF,0.941176471,0,0,0.836601307,0.31372549,7,95,3,8,0,0.776041667,hrv_lf,,,,,,,,,
electricity_nutrition_ts_resp,resp,electricity,ROCKET,0.933333333,1,0.974358974,0.963553114,0.969230769,3,35,3,74,0,0.96875,e_consumption,,,1,0,,,,,
sleep_ts_feel,feel,sleep,iTDE,0.964285714,0,0.666666667,0.913978495,0.543650794,4,110,4,8,1,0.616071429,bedexit_duration,,,,,,,,,
sleep_ts_feel,feel,sleep,MUSE,0.964285714,0,0.666666667,0.912301587,0.543650794,5,105,4,8,1,0.614197531,duration,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,MUSE,0.964285714,0,0.666666667,0.912301587,0.543650794,5,105,4,8,1,0.543209877,tossnturn_count,,,,,,,,,
sleep_ts_feel,feel,sleep,KNN,0.962962963,0,0.666666667,0.912783751,0.543209877,4,110,4,8,1,0.732142857,min_rr,,,,,,,,,
sleep_ts_feel,feel,sleep,KNN,0.961538462,0,0.666666667,0.906135531,0.542735043,6,100,4,8,0,0.625,hrv_score,,,,,,,,,
sleep_ts_feel,feel,sleep,indvBOSS,0.961538462,0,0.666666667,0.906135531,0.542735043,6,100,4,8,1,0.625,sleep_score,,,,,,,,,
electricity_living_ts_resp_norm,resp,electricity,MUSE,0.695652174,0,0.818181818,0.754475703,0.504611331,4,42,2,92,1,0.772727273,e_consumption,,,,,,,,,
electricity_living_ts_resp_norm,resp,electricity,MrSEQL,0.631578947,0,0.807692308,0.721194879,0.479757085,3,44,3,101,0,0.771011396,e_consumption,,,,,,,,,
sleep_ts_feel,feel,sleep,MUSE,0.92,0,0,0.817777778,0.306666667,7,95,3,8,0,0.770833333,max_rr,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,ROCKET,0.961538462,0,0.666666667,0.906135531,0.542735043,6,100,4,8,1,0.625,bedexit_count,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,MUSE,0.961538462,0,0.666666667,0.906135531,0.542735043,6,100,4,8,0,0.713333333,hrv_hf,,,,,,,,,
sleep_ts_feel,feel,sleep,MUSE,0.961538462,0,0.666666667,0.906135531,0.542735043,6,100,4,8,1,0.676666667,max_hr,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,MUSE,0.961538462,0,0.666666667,0.906135531,0.542735043,6,100,4,8,1,0.66,duration_in_rem,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,iTDE,0.961538462,0,0.666666667,0.906135531,0.542735043,6,100,4,8,0,0.625,bedexit_duration,,,,,,,,,
sleep_ts_feel,feel,sleep,iTDE,0.905660377,0.5,0.4,0.859951309,0.601886792,4,110,4,8,1,0.857142857,hrv_hf,,,0,1,,,,,
electricity_total_ts_resp,resp,electricity,ROCKET,0.75,0,0.870967742,0.798387097,0.540322581,1,48,5,120,1,0.6625,e_consumption,,,,,,,,,
sleep_ts_feel,feel,sleep,KNN,0.953846154,0,0.666666667,0.91018315,0.54017094,1,125,4,8,1,0.6171875,duration_awake,,,,,,,,,
electricity_living_ts_resp,resp,electricity,iTDE,0.736842105,0,0.881355932,0.819580731,0.539399346,2,46,4,110,0,0.891233766,e_consumption,,,,,,,,,
sleep_ts_feel_norm,feel,sleep,KNN,0.950819672,0,0.666666667,0.904785561,0.539162113,2,120,4,8,1,0.616666667,bedexit_duration,,,,,,,,,
