,file,outcome,sensor,model,f1_score_constant,f1_score_decline,f1_score_improvement,f1_score_weighted,f1_score_unweighted,time_series_length (days),count_constant,count_decline,count_improvement,oversampled,AUC_score,variable
761,sleep_ts_feel,feel,sleep,MrSEQL,0.695652174,0.166666667,0.333333333,0.656476449,0.398550725,3,115,4,8,0,0.7327586209999999,duration_in_sleep
762,sleep_ts_feel,feel,sleep,MrSEQL,0.723404255,0.25,0.222222222,0.677286495,0.398542159,3,115,4,8,1,0.847701149,avg_rr
772,electricity_total_ts_feel_norm,feel,electricity,MrSEQL,0.7540983609999999,0.25,0.181818182,0.700279434,0.39530551399999997,2,136,9,15,0,0.7013888890000001,e_consumption
798,sleep_ts_feel,feel,sleep,MrSEQL,0.666666667,0.333333333,0.181818182,0.62012987,0.393939394,6,100,4,8,0,0.773333333,duration_in_bed
842,sleep_ts_feel_norm,feel,sleep,MrSEQL,0.666666667,0.25,0.222222222,0.620039683,0.37962963,6,100,4,8,0,0.836666667,avg_hr
849,sleep_ts_feel,feel,sleep,MrSEQL,0.7111111109999999,0.2,0.222222222,0.6645833329999999,0.37777777799999995,3,115,4,8,0,0.635057471,hrv_rmssd_evening
851,sleep_ts_feel_norm,feel,sleep,MrSEQL,0.6315789470000001,0.333333333,0.166666667,0.587719298,0.377192982,6,100,4,8,1,0.78,bedexit_duration
940,sleep_ts_feel,feel,sleep,MrSEQL,0.681818182,0.2,0.2,0.636647727,0.36060606100000003,3,115,4,8,1,0.738505747,duration
1455,sleep_ts_feel_norm,feel,sleep,iTDE,0.222222222,0.5,0.086956522,0.22249060699999998,0.269726248,7,95,3,8,1,0.541666667,fm_count
4951,sleep_ts_feel,feel,sleep,iTDE,0.235294118,0.125,0.125,0.22526738,0.161764706,2,120,4,8,1,0.40833333299999997,fm_count
4953,sleep_ts_feel_norm,feel,sleep,indvBOSS,0.137931034,0.086956522,0.25,0.143703148,0.158295852,5,105,4,8,1,0.518518519,fm_count
4963,sleep_ts_feel,feel,sleep,indvBOSS,0.060606060999999996,0.181818182,0.076923077,0.065001665,0.106449106,1,125,4,8,1,0.2578125,fm_count
