,file,outcome,sensor,model,f1_score_constant,f1_score_decline,f1_score_improvement,f1_score_weighted,f1_score_unweighted,time_series_length (days),count_constant,count_decline,count_improvement,oversampled,AUC_score,variable
29,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.8571428571428571,0.0,0.0,0.718146718146718,0.2857142857142857,3.0,126.0,9.0,13.0,1.0,0.467741935483871,e_consumption
30,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.8852459016393444,0.0,0.0,0.8331726133076183,0.2950819672131148,4.0,116.0,9.0,11.0,1.0,0.0,e_consumption
31,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.9473684210526316,0.0,0.5,0.8758223684210527,0.4824561403508772,5.0,107.0,8.0,11.0,1.0,0.5654761904761905,e_consumption
32,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.8749999999999999,0.0,0.25,0.7458333333333332,0.375,6.0,98.0,8.0,11.0,1.0,0.595,e_consumption
33,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.8979591836734695,0.0,0.0,0.8647014361300077,0.2993197278911565,7.0,91.0,6.0,10.0,1.0,0.0,e_consumption
34,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.8533333333333334,0.0,0.0,0.736969696969697,0.28444444444444444,1.0,146.0,9.0,19.0,0.0,0.46052631578947373,e_consumption
35,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.9117647058823529,0.0,0.5,0.7897058823529411,0.4705882352941176,2.0,136.0,9.0,15.0,0.0,0.49242424242424243,e_consumption
36,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.888888888888889,0.0,0.0,0.8168168168168168,0.29629629629629634,3.0,126.0,9.0,13.0,0.0,0.463235294117647,e_consumption
37,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.9666666666666666,0.0,0.4,0.8598039215686274,0.45555555555555555,4.0,116.0,9.0,11.0,0.0,0.5833333333333334,e_consumption
38,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.8846153846153847,0.0,0.0,0.7740384615384616,0.2948717948717949,5.0,107.0,8.0,11.0,0.0,0.0,e_consumption
39,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.8,0.0,0.28571428571428575,0.660952380952381,0.36190476190476195,6.0,98.0,8.0,11.0,0.0,0.5456521739130434,e_consumption
40,electricity_living_ts_feel_norm,feel,electricity,iTDE,0.8837209302325582,0.0,0.3333333333333333,0.8102210737869654,0.4056847545219638,7.0,91.0,6.0,10.0,0.0,0.4375,e_consumption
41,electricity_total_ts_feel,feel,electricity,iTDE,0.8219178082191781,0.0,0.0,0.6724782067247821,0.27397260273972607,1.0,146.0,9.0,19.0,1.0,0.4583333333333333,e_consumption
42,electricity_total_ts_feel,feel,electricity,iTDE,0.8656716417910447,0.0,0.5714285714285715,0.800319829424307,0.47903340440653874,2.0,136.0,9.0,15.0,1.0,0.6238095238095238,e_consumption
43,electricity_total_ts_feel,feel,electricity,iTDE,0.927536231884058,0.0,0.0,0.8272620446533491,0.30917874396135264,3.0,126.0,9.0,13.0,1.0,0.49242424242424243,e_consumption
44,electricity_total_ts_feel,feel,electricity,iTDE,0.8727272727272727,0.0,0.4444444444444445,0.7448603683897801,0.4390572390572391,4.0,116.0,9.0,11.0,1.0,0.7053571428571428,e_consumption
45,electricity_total_ts_feel,feel,electricity,iTDE,0.8727272727272728,0.0,0.4,0.8431818181818183,0.4242424242424243,5.0,107.0,8.0,11.0,1.0,0.0,e_consumption
46,electricity_total_ts_feel,feel,electricity,iTDE,0.8400000000000001,0.0,0.3333333333333333,0.7613333333333334,0.39111111111111113,6.0,98.0,8.0,11.0,1.0,0.4615384615384615,e_consumption
47,electricity_total_ts_feel,feel,electricity,iTDE,0.8837209302325582,0.0,0.3333333333333333,0.7571059431524547,0.4056847545219638,7.0,91.0,6.0,10.0,1.0,0.5492424242424242,e_consumption
48,electricity_total_ts_feel,feel,electricity,iTDE,0.8333333333333334,0.0,0.0,0.662878787878788,0.2777777777777778,1.0,146.0,9.0,19.0,0.0,0.46428571428571425,e_consumption
49,electricity_total_ts_feel,feel,electricity,iTDE,0.8307692307692308,0.0,0.3333333333333333,0.6938461538461539,0.38803418803418804,2.0,136.0,9.0,15.0,0.0,0.6008064516129032,e_consumption
50,electricity_total_ts_feel,feel,electricity,iTDE,0.8524590163934426,0.0,0.22222222222222224,0.698173583419485,0.3582270795385549,3.0,126.0,9.0,13.0,0.0,0.5241379310344828,e_consumption
51,electricity_total_ts_feel,feel,electricity,iTDE,0.8771929824561403,0.0,0.33333333333333337,0.7579979360165118,0.40350877192982454,4.0,116.0,9.0,11.0,0.0,0.7155172413793104,e_consumption
52,electricity_total_ts_feel,feel,electricity,iTDE,0.8235294117647058,0.0,0.0,0.6691176470588235,0.2745098039215686,5.0,107.0,8.0,11.0,0.0,0.4519230769230769,e_consumption
53,electricity_total_ts_feel,feel,electricity,iTDE,0.8400000000000001,0.0,0.3333333333333333,0.7502222222222223,0.39111111111111113,6.0,98.0,8.0,11.0,0.0,0.4519230769230769,e_consumption
54,electricity_total_ts_feel,feel,electricity,iTDE,0.9166666666666666,0.0,0.5,0.9012345679012346,0.47222222222222215,7.0,91.0,6.0,10.0,0.0,0.0,e_consumption
55,electricity_living_ts_feel,feel,electricity,iTDE,0.8115942028985507,0.0,0.15384615384615385,0.6630688152427283,0.3218134522482348,1.0,146.0,9.0,19.0,1.0,0.5071428571428571,e_consumption
56,electricity_living_ts_feel,feel,electricity,iTDE,0.8358208955223881,0.0,0.25,0.7291977611940299,0.36194029850746273,2.0,136.0,9.0,15.0,1.0,0.45588235294117646,e_consumption
57,electricity_living_ts_feel,feel,electricity,iTDE,0.8955223880597014,0.0,0.0,0.7987091569181122,0.29850746268656714,3.0,126.0,9.0,13.0,1.0,0.48484848484848486,e_consumption
58,electricity_living_ts_feel,feel,electricity,iTDE,0.9152542372881356,0.0,0.28571428571428575,0.8513032331576699,0.4003228410008071,4.0,116.0,9.0,11.0,1.0,0.592741935483871,e_consumption
59,electricity_living_ts_feel,feel,electricity,iTDE,0.8571428571428572,0.0,0.0,0.7767857142857143,0.28571428571428575,5.0,107.0,8.0,11.0,1.0,0.4568965517241379,e_consumption
